,Actual value,Predicted value
2867,0.0,2.2842192317630863
6918,0.0,2.2842192317630863
4015,0.0,2.2842192317630863
681,0.0,2.2842192317630863
1486,0.0,2.2842192317630863
3412,0.0,2.2842192317630863
6705,0.0,2.2842192317630863
1439,23.1,2.2842192317630863
4593,12.5,2.2842192317630863
2728,0.0,2.2842192317630863
3501,0.0,2.2842192317630863
1703,0.0,2.2842192317630863
6862,0.0,2.2842192317630863
857,0.0,2.2842192317630863
3513,0.0,2.2842192317630863
5671,3.0,2.2842192317630863
3076,0.0,2.2842192317630863
133,0.0,2.2842192317630863
5001,0.0,2.2842192317630863
330,0.0,2.2842192317630863
768,0.0,2.2842192317630863
5494,0.0,2.2842192317630863
2825,0.0,2.2842192317630863
2078,0.0,2.2842192317630863
6472,38.5,2.2842192317630863
1510,0.0,2.2842192317630863
3377,0.0,2.2842192317630863
2067,0.0,2.2842192317630863
6636,0.0,2.2842192317630863
1726,0.0,2.2842192317630863
1935,0.0,2.2842192317630863
3489,0.0,2.2842192317630863
6172,0.0,2.2842192317630863
4494,0.0,2.2842192317630863
1666,0.0,2.2842192317630863
739,0.0,2.2842192317630863
6558,0.0,2.2842192317630863
2042,0.0,2.2842192317630863
4434,0.0,2.2842192317630863
4783,0.0,2.2842192317630863
634,0.0,2.2842192317630863
6081,0.0,2.2842192317630863
3604,15.1,5.714356865891318
5118,14.8,2.2842192317630863
6389,1.8,2.2842192317630863
3089,0.0,2.2842192317630863
1825,0.0,2.2842192317630863
2991,0.0,2.2842192317630863
2249,0.0,2.2842192317630863
5872,0.0,2.2842192317630863
4974,19.1,17.318439500495337
5834,37.7,2.2842192317630863
7183,0.0,2.2842192317630863
2645,0.0,2.2842192317630863
6313,0.0,2.2842192317630863
4128,15.6,2.2842192317630863
5886,37.0,2.2842192317630863
3202,1.8,2.2842192317630863
2973,0.0,2.2842192317630863
6731,0.0,2.2842192317630863
2666,0.0,2.2842192317630863
3198,1.8,2.2842192317630863
5854,1.9,2.2842192317630863
5059,0.0,2.2842192317630863
5316,0.0,2.2842192317630863
4817,0.0,2.2842192317630863
4332,0.0,2.2842192317630863
4243,1.8,2.2842192317630863
5198,0.0,2.2842192317630863
2234,0.0,2.2842192317630863
6232,0.0,2.2842192317630863
3554,12.3,20.675595482833604
6676,0.0,2.2842192317630863
3335,0.0,2.2842192317630863
7326,0.0,2.2842192317630863
341,0.0,2.2842192317630863
4313,0.0,2.2842192317630863
1875,0.0,2.2842192317630863
3695,0.0,2.2842192317630863
6752,23.9,20.456650527463715
5480,31.8,13.231467000257442
6615,0.0,2.2842192317630863
3955,0.0,2.2842192317630863
6809,0.0,2.2842192317630863
2279,0.0,2.2842192317630863
3024,0.0,2.2842192317630863
538,7.7,4.838577044411769
5312,0.0,2.2842192317630863
6962,0.0,2.2842192317630863
5309,0.0,2.2842192317630863
6744,26.6,4.838577044411769
4250,17.4,22.13522851863285
5210,0.0,2.2842192317630863
2076,0.0,2.2842192317630863
4479,2.8,2.2842192317630863
6524,0.0,2.2842192317630863
236,0.0,2.2842192317630863
4001,0.0,2.2842192317630863
3226,6.2,2.2842192317630863
5545,0.0,2.2842192317630863
155,0.0,2.2842192317630863
